row_id,country,is_urban,age,female,married,religion,relationship_to_hh_head,education_level,can_add,num_times_borrowed_last_year,can_use_internet,phone_ownership,dinero_en_banco,fecha_ultimo_trabajo
51,F,VERDADERO,60,FALSO,VERDADERO,Q,Head,2,VERDADERO,2,FALSO,2,708,5/5/2019
52,C,FALSO,17,VERDADERO,FALSO,P,Son/Daughter,2,VERDADERO,1,FALSO,2,19,4/7/2010
53,F,VERDADERO,25,VERDADERO,VERDADERO,Q,Other,4,VERDADERO,2,FALSO,1,1049,25/2/2000
54,G,FALSO,72,FALSO,FALSO,X,Head,5,VERDADERO,0,FALSO,2,86,16/11/2009
55,A,FALSO,50,FALSO,VERDADERO,P,Head,5,VERDADERO,2,FALSO,0,114,9/3/2009
56,A,FALSO,26,VERDADERO,VERDADERO,Q,Spouse,0,VERDADERO,0,FALSO,1,96,20/11/2017
57,D,FALSO,58,FALSO,FALSO,Q,Head,0,FALSO,1,FALSO,0,695,12/8/2004
58,D,FALSO,28,VERDADERO,VERDADERO,Q,Spouse,4,VERDADERO,0,FALSO,2,322,25/4/2013
59,F,VERDADERO,32,FALSO,VERDADERO,Q,Head,3,VERDADERO,0,VERDADERO,2,1216,6/3/2008
60,A,FALSO,56,FALSO,VERDADERO,Q,Head,3,VERDADERO,1,FALSO,1,1172,5/9/2008
61,D,FALSO,29,FALSO,FALSO,X,Head,5,FALSO,2,FALSO,1,1476,17/1/2001
62,I,VERDADERO,48,FALSO,VERDADERO,Q,Head,1,VERDADERO,0,FALSO,2,1133,7/8/2005
63,A,FALSO,61,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,0,FALSO,2,650,20/8/2014
64,J,FALSO,60,VERDADERO,VERDADERO,Q,Spouse,5,VERDADERO,1,FALSO,0,854,17/5/2007
65,C,FALSO,39,VERDADERO,VERDADERO,P,Spouse,3,VERDADERO,1,FALSO,2,1182,23/4/2003
66,C,FALSO,24,FALSO,FALSO,P,Head,3,VERDADERO,0,FALSO,2,62,1/10/2007
67,D,FALSO,37,VERDADERO,FALSO,Q,Head,6,VERDADERO,0,FALSO,2,693,24/3/2008
68,J,FALSO,46,VERDADERO,FALSO,X,Head,4,VERDADERO,0,FALSO,1,791,21/9/2017
69,I,VERDADERO,25,VERDADERO,FALSO,Q,Son/Daughter,2,VERDADERO,0,FALSO,2,1442,5/3/2016
70,J,FALSO,40,VERDADERO,VERDADERO,X,Head,0,FALSO,1,FALSO,1,750,15/2/2009
71,A,FALSO,67,FALSO,VERDADERO,P,Head,4,VERDADERO,1,FALSO,2,1374,26/6/2003
72,D,VERDADERO,38,FALSO,FALSO,X,Head,2,VERDADERO,3,FALSO,2,724,28/4/2005
73,F,VERDADERO,29,VERDADERO,VERDADERO,X,Spouse,6,VERDADERO,0,FALSO,0,1152,17/7/2010
74,A,FALSO,41,FALSO,VERDADERO,Q,Head,6,VERDADERO,0,VERDADERO,2,602,20/5/2010
75,C,VERDADERO,55,FALSO,VERDADERO,P,Head,0,VERDADERO,0,FALSO,0,108,10/9/2009
76,D,FALSO,73,FALSO,VERDADERO,Q,Head,6,FALSO,0,FALSO,2,1126,8/12/2011
77,C,FALSO,56,VERDADERO,VERDADERO,P,Spouse,2,VERDADERO,0,FALSO,1,1381,25/12/2017
78,A,FALSO,24,FALSO,FALSO,Q,Son/Daughter,4,VERDADERO,1,VERDADERO,2,111,25/8/2005
79,G,FALSO,16,VERDADERO,FALSO,X,Son/Daughter,0,VERDADERO,0,FALSO,1,15,13/3/2010
80,F,FALSO,15,VERDADERO,FALSO,X,Son/Daughter,6,VERDADERO,2,FALSO,0,112,3/6/2007
81,I,VERDADERO,25,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,0,VERDADERO,2,244,11/4/2004
82,J,FALSO,24,VERDADERO,VERDADERO,X,Spouse,1,VERDADERO,3,FALSO,2,524,22/10/2010
83,I,VERDADERO,36,FALSO,VERDADERO,Q,Head,0,VERDADERO,0,VERDADERO,2,824,14/2/2004
84,D,VERDADERO,43,FALSO,FALSO,Q,Head,5,FALSO,1,FALSO,0,1103,26/10/2001
85,I,VERDADERO,50,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,1,FALSO,0,1098,28/12/2002
86,J,FALSO,17,FALSO,FALSO,X,Son/Daughter,1,VERDADERO,0,FALSO,0,1360,24/8/2015
87,I,FALSO,45,FALSO,VERDADERO,Q,Head,6,VERDADERO,1,VERDADERO,0,855,10/6/2002
88,F,FALSO,19,VERDADERO,VERDADERO,Q,Father/Mother,6,VERDADERO,1,FALSO,2,953,24/10/2020
89,G,FALSO,44,VERDADERO,VERDADERO,X,Spouse,5,VERDADERO,0,FALSO,0,1175,3/5/2009
90,A,FALSO,36,VERDADERO,VERDADERO,Q,Spouse,3,VERDADERO,0,FALSO,2,554,4/1/2007
91,C,FALSO,35,VERDADERO,VERDADERO,P,Spouse,0,VERDADERO,0,FALSO,2,733,13/2/2019
92,A,FALSO,59,FALSO,VERDADERO,P,Head,2,VERDADERO,0,FALSO,2,703,24/11/2009
93,D,FALSO,20,VERDADERO,FALSO,X,Spouse,2,VERDADERO,3,FALSO,0,1363,13/6/2020
94,A,FALSO,31,VERDADERO,VERDADERO,Q,Spouse,2,FALSO,0,FALSO,0,1269,10/12/2000
95,G,VERDADERO,28,FALSO,VERDADERO,X,Head,4,VERDADERO,1,VERDADERO,2,296,18/6/2007
96,J,FALSO,26,VERDADERO,VERDADERO,X,Spouse,2,VERDADERO,2,FALSO,0,40,21/6/2018
97,D,VERDADERO,37,VERDADERO,VERDADERO,Q,Head,4,VERDADERO,0,FALSO,2,190,18/4/2010
98,G,VERDADERO,21,VERDADERO,FALSO,X,Son/Daughter,4,VERDADERO,3,VERDADERO,2,1488,18/10/2014
99,A,VERDADERO,31,VERDADERO,VERDADERO,Q,Spouse,2,VERDADERO,0,FALSO,2,1301,28/7/2003
100,G,FALSO,20,VERDADERO,VERDADERO,X,Spouse,1,VERDADERO,0,FALSO,1,1384,7/2/2008
101,D,FALSO,31,VERDADERO,VERDADERO,X,Spouse,1,VERDADERO,0,FALSO,1,853,12/5/2005
102,D,VERDADERO,55,VERDADERO,VERDADERO,Q,Spouse,6,FALSO,2,FALSO,2,461,25/1/2011
103,D,FALSO,35,VERDADERO,VERDADERO,X,Head,5,FALSO,0,FALSO,2,814,26/4/2008
104,A,FALSO,17,FALSO,FALSO,Q,Sister/Brother,3,VERDADERO,0,FALSO,1,1138,21/3/2003
105,C,VERDADERO,19,VERDADERO,VERDADERO,P,Other,3,VERDADERO,0,FALSO,1,244,15/9/2007
106,J,FALSO,29,FALSO,VERDADERO,X,Head,6,VERDADERO,1,FALSO,1,520,1/12/2010
107,I,VERDADERO,34,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,1,FALSO,2,426,6/1/2005
108,D,VERDADERO,36,VERDADERO,VERDADERO,Q,Spouse,1,FALSO,0,FALSO,2,564,1/10/2013
109,G,VERDADERO,33,VERDADERO,FALSO,X,Head,0,VERDADERO,0,VERDADERO,2,1147,24/7/2007
110,G,FALSO,25,VERDADERO,VERDADERO,X,Spouse,1,VERDADERO,0,FALSO,2,116,15/9/2020
111,J,FALSO,37,VERDADERO,VERDADERO,X,Spouse,3,VERDADERO,0,FALSO,2,364,18/12/2002
112,I,VERDADERO,18,VERDADERO,FALSO,Q,Son/Daughter,0,VERDADERO,0,VERDADERO,2,688,2/2/2008
113,J,FALSO,15,FALSO,FALSO,X,Son/Daughter,3,VERDADERO,0,FALSO,0,71,4/2/2014
114,D,FALSO,65,VERDADERO,FALSO,X,Head,1,VERDADERO,1,FALSO,2,225,20/10/2016
115,A,FALSO,35,FALSO,VERDADERO,Q,Head,2,VERDADERO,0,FALSO,2,722,26/6/2010
116,J,FALSO,87,FALSO,FALSO,X,Head,4,VERDADERO,0,FALSO,0,1176,19/5/2001
117,G,VERDADERO,31,FALSO,VERDADERO,Q,Spouse,6,VERDADERO,3,VERDADERO,2,998,14/12/2005
118,G,FALSO,63,FALSO,VERDADERO,X,Head,0,FALSO,0,VERDADERO,2,65,24/12/2018
119,C,VERDADERO,70,FALSO,FALSO,P,Head,5,VERDADERO,0,FALSO,2,387,15/12/2003
120,J,VERDADERO,33,FALSO,VERDADERO,X,Head,5,VERDADERO,2,VERDADERO,2,1441,6/12/2001
121,G,FALSO,21,FALSO,FALSO,X,Head,4,VERDADERO,0,VERDADERO,2,1394,20/3/2008
122,G,VERDADERO,39,VERDADERO,FALSO,X,Head,3,VERDADERO,1,FALSO,2,576,19/6/2002
123,F,FALSO,27,VERDADERO,VERDADERO,Q,Spouse,6,FALSO,0,FALSO,2,355,19/3/2005
124,I,FALSO,25,VERDADERO,VERDADERO,Q,Spouse,3,VERDADERO,0,FALSO,1,70,3/1/2008
125,C,VERDADERO,35,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,0,FALSO,2,675,27/11/2010
126,D,FALSO,40,VERDADERO,VERDADERO,X,Spouse,2,VERDADERO,3,FALSO,2,1338,22/12/2010
127,J,FALSO,23,VERDADERO,VERDADERO,X,Spouse,2,VERDADERO,3,FALSO,0,212,21/3/2007
128,A,FALSO,41,VERDADERO,VERDADERO,Q,Spouse,2,VERDADERO,0,FALSO,0,389,11/4/2018
129,I,FALSO,60,VERDADERO,FALSO,Q,Father/Mother,0,VERDADERO,1,FALSO,2,55,8/8/2018
130,D,FALSO,35,VERDADERO,VERDADERO,N,Spouse,2,VERDADERO,0,FALSO,0,408,15/11/2016
131,F,VERDADERO,50,FALSO,VERDADERO,Q,Head,5,VERDADERO,0,FALSO,2,1447,10/12/2008
132,F,FALSO,55,VERDADERO,VERDADERO,Q,Son/Daughter,3,VERDADERO,2,FALSO,0,718,2/6/2017
133,C,FALSO,30,FALSO,VERDADERO,P,Head,3,VERDADERO,0,FALSO,2,577,24/12/2000
134,G,FALSO,60,VERDADERO,VERDADERO,X,Spouse,2,VERDADERO,3,FALSO,2,1413,27/8/2017
135,C,FALSO,20,VERDADERO,FALSO,P,Son/Daughter,6,VERDADERO,0,FALSO,1,1289,26/3/2001
136,A,VERDADERO,41,FALSO,VERDADERO,Q,Head,0,VERDADERO,1,FALSO,2,1430,28/3/2004
137,I,FALSO,40,FALSO,VERDADERO,O,Head,5,VERDADERO,0,FALSO,2,602,7/9/2010
138,A,FALSO,46,FALSO,VERDADERO,Q,Head,4,VERDADERO,0,FALSO,2,380,4/2/2000
139,A,FALSO,39,FALSO,VERDADERO,Q,Head,2,VERDADERO,0,FALSO,2,26,27/7/2014
140,C,VERDADERO,61,FALSO,VERDADERO,P,Father/Mother,2,VERDADERO,1,FALSO,2,297,22/5/2016
141,J,FALSO,26,VERDADERO,FALSO,Q,Son/Daughter,2,VERDADERO,1,FALSO,2,1472,5/10/2009
142,A,VERDADERO,41,FALSO,VERDADERO,Q,Head,3,VERDADERO,0,FALSO,2,676,18/1/2008
143,F,FALSO,30,VERDADERO,VERDADERO,Q,Spouse,4,VERDADERO,0,FALSO,0,764,24/1/2001
144,G,VERDADERO,46,FALSO,FALSO,X,Head,6,VERDADERO,0,FALSO,2,480,15/9/2004
145,A,FALSO,30,VERDADERO,VERDADERO,Q,Spouse,5,VERDADERO,1,FALSO,2,571,6/1/2005
146,C,FALSO,45,FALSO,VERDADERO,O,Head,0,VERDADERO,3,FALSO,0,390,15/7/2010
147,D,FALSO,47,FALSO,VERDADERO,X,Head,5,FALSO,1,FALSO,2,184,3/8/2003
148,A,FALSO,35,VERDADERO,VERDADERO,Q,Spouse,6,VERDADERO,1,FALSO,2,667,2/10/2010
149,I,VERDADERO,60,VERDADERO,VERDADERO,Q,Spouse,1,VERDADERO,1,FALSO,2,623,25/10/2020
150,J,FALSO,23,FALSO,VERDADERO,X,Head,4,VERDADERO,0,FALSO,0,1032,27/5/2007
151,I,FALSO,60,VERDADERO,VERDADERO,Q,Father/Mother,0,VERDADERO,0,FALSO,0,1328,10/3/2010
152,J,VERDADERO,60,VERDADERO,FALSO,X,Head,3,VERDADERO,0,FALSO,2,1407,8/5/2020
153,I,FALSO,19,VERDADERO,FALSO,Q,Son/Daughter,3,VERDADERO,0,FALSO,0,658,3/6/2001
154,G,VERDADERO,17,VERDADERO,FALSO,X,Son/Daughter,5,VERDADERO,0,FALSO,2,165,23/2/2018
155,D,FALSO,45,VERDADERO,FALSO,Q,Father/Mother,3,FALSO,0,FALSO,2,165,13/8/2009
156,D,FALSO,37,VERDADERO,VERDADERO,X,Unknown,2,FALSO,0,FALSO,2,1381,3/12/2019
157,I,VERDADERO,31,FALSO,VERDADERO,Q,Head,4,VERDADERO,0,FALSO,2,1445,12/8/2002
158,G,FALSO,31,VERDADERO,FALSO,Q,Head,5,VERDADERO,0,FALSO,1,386,23/2/2015
159,J,FALSO,72,VERDADERO,VERDADERO,X,Head,0,VERDADERO,2,FALSO,0,253,3/4/2003
160,I,FALSO,50,FALSO,VERDADERO,Q,Head,4,VERDADERO,1,FALSO,2,247,14/9/2004
161,G,FALSO,56,FALSO,VERDADERO,N,Head,4,VERDADERO,0,FALSO,1,252,24/1/2019
162,D,FALSO,19,FALSO,FALSO,Q,Other,5,VERDADERO,0,FALSO,2,786,10/5/2008
163,J,FALSO,29,VERDADERO,FALSO,X,Head,0,VERDADERO,2,FALSO,2,310,5/10/2000
164,C,VERDADERO,35,VERDADERO,VERDADERO,P,Spouse,0,VERDADERO,0,FALSO,1,1313,8/4/2018
165,G,FALSO,35,FALSO,VERDADERO,X,Head,6,VERDADERO,2,FALSO,2,22,27/3/2001
166,J,FALSO,23,FALSO,FALSO,X,Son/Daughter,2,VERDADERO,2,FALSO,2,1159,2/3/2005
167,D,VERDADERO,55,VERDADERO,VERDADERO,Q,Head,1,FALSO,2,FALSO,0,389,18/3/2009
168,C,FALSO,38,VERDADERO,FALSO,P,Head,3,VERDADERO,0,FALSO,0,869,6/11/2020
169,J,VERDADERO,54,VERDADERO,FALSO,X,Head,4,VERDADERO,0,FALSO,0,797,17/6/2019
170,D,FALSO,22,VERDADERO,VERDADERO,X,Spouse,3,VERDADERO,1,FALSO,0,867,3/10/2006
171,C,FALSO,35,FALSO,VERDADERO,P,Head,4,VERDADERO,1,FALSO,2,513,24/11/2008
172,F,VERDADERO,35,FALSO,FALSO,Q,Son/Daughter,3,VERDADERO,0,VERDADERO,2,679,18/3/2016
173,I,FALSO,41,FALSO,VERDADERO,Q,Head,5,VERDADERO,0,VERDADERO,2,1164,18/8/2012
174,A,VERDADERO,51,VERDADERO,VERDADERO,Q,Head,0,VERDADERO,0,FALSO,0,215,17/7/2001
175,D,VERDADERO,22,VERDADERO,FALSO,Q,Spouse,5,FALSO,1,FALSO,2,342,2/7/2007
176,C,FALSO,33,VERDADERO,FALSO,P,Son/Daughter,6,FALSO,1,FALSO,0,780,28/9/2009
177,J,FALSO,30,FALSO,VERDADERO,X,Head,2,VERDADERO,1,FALSO,2,1011,3/11/2017
178,G,FALSO,33,FALSO,VERDADERO,X,Head,1,VERDADERO,0,FALSO,2,1140,10/3/2018
179,D,VERDADERO,22,FALSO,FALSO,X,Head,3,VERDADERO,0,VERDADERO,2,82,14/3/2017
180,F,VERDADERO,38,VERDADERO,FALSO,X,Head,0,VERDADERO,1,FALSO,2,918,14/6/2000
181,F,VERDADERO,36,VERDADERO,VERDADERO,X,Father/Mother,3,VERDADERO,0,FALSO,2,696,11/9/2014
182,A,FALSO,30,VERDADERO,VERDADERO,Q,Spouse,3,VERDADERO,0,FALSO,2,997,19/3/2011
183,F,FALSO,32,VERDADERO,VERDADERO,X,Spouse,6,VERDADERO,1,FALSO,1,1354,9/5/2017
184,I,FALSO,27,VERDADERO,VERDADERO,Q,Spouse,3,VERDADERO,0,FALSO,1,1334,28/5/2011
185,G,FALSO,57,FALSO,VERDADERO,X,Head,4,VERDADERO,2,VERDADERO,2,644,20/12/2008
186,C,VERDADERO,40,FALSO,VERDADERO,Q,Head,3,VERDADERO,1,FALSO,2,532,5/5/2003
187,G,FALSO,15,VERDADERO,FALSO,X,Sister/Brother,4,VERDADERO,0,FALSO,1,955,16/4/2006
188,I,FALSO,18,FALSO,VERDADERO,Q,Head,6,VERDADERO,0,FALSO,2,985,9/1/2017
189,D,VERDADERO,24,FALSO,FALSO,X,Head,5,FALSO,2,FALSO,1,261,4/12/2001
190,I,FALSO,44,FALSO,VERDADERO,Q,Son/Daughter,1,VERDADERO,0,FALSO,2,177,2/10/2005
191,I,FALSO,20,FALSO,FALSO,Q,Son/Daughter,5,VERDADERO,0,FALSO,2,142,4/8/2016
192,D,FALSO,19,VERDADERO,FALSO,X,Other,1,VERDADERO,0,FALSO,2,258,6/3/2018
193,A,VERDADERO,26,VERDADERO,VERDADERO,Q,Spouse,4,VERDADERO,1,FALSO,2,232,25/7/2006
194,J,VERDADERO,31,VERDADERO,VERDADERO,X,Spouse,4,VERDADERO,0,FALSO,2,880,2/5/2000
195,J,FALSO,19,FALSO,FALSO,X,Son/Daughter,4,VERDADERO,1,FALSO,2,899,9/7/2011
196,D,FALSO,32,VERDADERO,VERDADERO,Q,Other,0,VERDADERO,0,FALSO,1,1341,11/6/2007
197,F,FALSO,32,VERDADERO,VERDADERO,Q,Spouse,1,VERDADERO,1,FALSO,0,1160,25/11/2017
198,G,VERDADERO,59,FALSO,VERDADERO,X,Head,5,VERDADERO,1,FALSO,0,894,18/7/2010
199,I,VERDADERO,54,FALSO,VERDADERO,Q,Head,5,VERDADERO,0,VERDADERO,2,214,28/3/2017
200,A,VERDADERO,51,VERDADERO,VERDADERO,Q,Spouse,5,VERDADERO,1,FALSO,1,1394,3/11/2013
201,D,FALSO,40,VERDADERO,FALSO,Q,Head,0,VERDADERO,0,FALSO,2,1215,26/5/2004
202,G,FALSO,50,VERDADERO,VERDADERO,X,Spouse,6,VERDADERO,1,FALSO,2,614,9/8/2009
203,F,FALSO,23,FALSO,FALSO,Q,Son/Daughter,6,VERDADERO,2,VERDADERO,2,217,3/2/2000
204,G,FALSO,20,FALSO,FALSO,X,Head,2,VERDADERO,3,VERDADERO,2,831,11/3/2020
205,A,FALSO,18,FALSO,FALSO,Q,Son/Daughter,4,VERDADERO,0,FALSO,1,1494,26/4/2015
206,A,FALSO,30,VERDADERO,VERDADERO,Q,Spouse,3,VERDADERO,0,FALSO,2,1461,21/8/2019
207,G,VERDADERO,20,FALSO,FALSO,Q,Sister/Brother,2,VERDADERO,0,VERDADERO,2,361,3/8/2000
208,G,FALSO,35,FALSO,VERDADERO,X,Head,2,VERDADERO,2,VERDADERO,2,918,27/9/2020
209,A,VERDADERO,36,VERDADERO,VERDADERO,Q,Spouse,2,VERDADERO,0,FALSO,0,501,17/6/2013
210,G,FALSO,27,VERDADERO,VERDADERO,X,Spouse,3,VERDADERO,3,VERDADERO,2,1128,24/7/2016
211,C,FALSO,60,VERDADERO,VERDADERO,Q,Head,3,VERDADERO,0,FALSO,0,195,1/5/2006
212,I,VERDADERO,50,VERDADERO,VERDADERO,Q,Spouse,1,VERDADERO,0,FALSO,2,365,25/8/2016
213,I,FALSO,32,FALSO,VERDADERO,Q,Head,6,VERDADERO,0,VERDADERO,2,173,18/12/2010
214,C,VERDADERO,40,VERDADERO,VERDADERO,Q,Spouse,2,VERDADERO,1,FALSO,1,1312,5/6/2018
215,J,VERDADERO,24,VERDADERO,FALSO,O,Spouse,2,VERDADERO,0,VERDADERO,2,399,3/8/2005
216,A,FALSO,34,FALSO,VERDADERO,Q,Head,1,VERDADERO,0,FALSO,2,892,26/10/2007
217,F,FALSO,20,VERDADERO,FALSO,Q,Son/Daughter,4,VERDADERO,1,FALSO,2,697,23/4/2001
218,C,FALSO,60,VERDADERO,VERDADERO,P,Spouse,0,VERDADERO,0,FALSO,2,895,17/2/2015
219,C,FALSO,35,VERDADERO,VERDADERO,P,Spouse,6,FALSO,0,VERDADERO,2,1478,2/6/2015
220,J,FALSO,20,VERDADERO,FALSO,X,Head,1,VERDADERO,1,FALSO,2,448,1/6/2014
221,C,FALSO,17,FALSO,FALSO,P,Son/Daughter,5,VERDADERO,0,FALSO,0,306,28/4/2003
222,F,FALSO,30,FALSO,FALSO,Q,Head,6,VERDADERO,0,VERDADERO,2,581,25/4/2007
223,F,FALSO,40,VERDADERO,VERDADERO,Q,Spouse,4,VERDADERO,0,FALSO,0,355,6/11/2000
224,I,FALSO,63,VERDADERO,FALSO,Q,Father/Mother,3,VERDADERO,0,FALSO,1,716,22/7/2000
225,J,VERDADERO,25,VERDADERO,FALSO,X,Head,0,FALSO,0,FALSO,2,68,21/2/2015
226,C,FALSO,55,VERDADERO,VERDADERO,P,Spouse,1,VERDADERO,0,FALSO,2,1287,18/9/2012
227,D,VERDADERO,19,VERDADERO,FALSO,Q,Son/Daughter,5,VERDADERO,0,FALSO,2,729,14/1/2008
228,A,FALSO,25,VERDADERO,VERDADERO,Q,Spouse,2,VERDADERO,0,FALSO,0,1089,23/1/2014
229,I,FALSO,48,FALSO,VERDADERO,Q,Head,1,VERDADERO,0,FALSO,0,875,17/3/2020
230,C,FALSO,30,VERDADERO,VERDADERO,Q,Spouse,0,VERDADERO,0,FALSO,2,750,3/6/2010
231,C,VERDADERO,41,FALSO,VERDADERO,P,Head,4,VERDADERO,2,VERDADERO,2,524,13/10/2006
232,C,FALSO,31,VERDADERO,VERDADERO,P,Spouse,4,FALSO,0,FALSO,1,933,25/10/2006
233,C,FALSO,56,VERDADERO,VERDADERO,Q,Spouse,1,FALSO,0,FALSO,0,1372,28/10/2015
234,I,FALSO,60,FALSO,VERDADERO,Q,Head,1,VERDADERO,0,FALSO,2,1025,9/12/2002
235,J,FALSO,16,FALSO,FALSO,X,Son/Daughter,0,FALSO,0,FALSO,0,112,12/2/2020
236,J,FALSO,43,VERDADERO,VERDADERO,X,Head,1,FALSO,1,FALSO,2,607,3/1/2004
